+2026-05-11 09:47:50,293 [16.72581672668457] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:51,329 [17.761701822280884] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:51,431 [17.863969802856445] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:52,443 [18.876176118850708] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:52,549 [18.981701135635376] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:53,563 [19.99600911140442] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:53,807 [20.23986577987671] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:54,819 [21.252249002456665] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:54,937 [21.369945287704468] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:54,942 [21.374943494796753] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:55,274 [21.707715272903442] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-11 09:47:55,276 [21.70881462097168] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:55,648 [22.08070421218872] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-11 09:47:55,921 [22.35367178916931] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:55,951 [22.383872509002686] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:56,021 [22.45417308807373] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:56,044 [22.477248668670654] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:57,058 [23.49142289161682] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:57,166 [23.59893012046814] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:58,197 [24.63044309616089] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:58,301 [24.73438596725464] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:59,356 [25.788700342178345] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:59,463 [25.896122694015503] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:48:00,521 [26.954238653182983] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:48:00,630 [27.063059329986572] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:48:01,659 [28.092124462127686] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:48:01,758 [28.1907958984375] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:48:02,805 [29.23789691925049] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
